opis,cena,id,vrednost_kupona,ocena,stevilo_ocen,cas_dostave,amazons_choice,produkt_sponzoriran,proizvajalec,OS,ssd,ram
Lenovo ThinkCentre M93p USDT Tiny Quad Core i5-4590T 256GB SSD Festplatte 8GB Speicher Win 10 Pro WiFi Mini PC Desktop Computer (Generalüberholt),168.00,B0859KTJLC,0,4.2,840,3,False,False,Lenovo,Windows,256,unknown
"Intel NUC 11 Pro UCFF Black i3-1115G4, BNUC11TNKI30002",342.99,B08YFCN562,0,4.0,5,-1,False,False,Intel,unknown,unknown,unknown
"GEEKOM Mini IT8 i5-8279U (up to 4.1 GHz) Mini PC, Windows 11 Pro Mini PC, 16 GB DDR4 RAM 512 GB SSD Mini Desktop PC, Mini Computer 4K @ 60Hz | Supports 4 Displays | 2.4/5GWiFi | BT Home/B. Office small PC",499.99,B0B1DV81FY,70.00,4.6,157,21,False,False,GEEKOM,Windows,512,16
Mini PC NUC - 10th Gen - Core i3 10110U - 8GB RAM - 500GB SSD - USB 3 - Windows 10 Pro,639.00,B07RQRFL8C,0,5.0,3,13,False,False,unknown,Windows,500,8
"Intel NUC, NUC 10 i5, Intel® Core™ i5-10210U Mini PC, NUC10i5FNHN Barebone, up to 4.2 GHz, 4 cores, 8 threads, no OS",529.99,B0B1MN8WX5,0,4.8,8,21,False,True,Intel,no OS,unknown,unknown
"Mini PC Windows 11 Pro with Intel Core i5-11320H Desktop PC Minisforum DeskMini TH50 16GB RAM 512G PCle SSD Mini Computer, Triple HDMI/USB 4 / Display Video Output, Dual LAN 2.5G Micro PC",579.99,B09WPF187D,60.00,4.1,46,9,False,False,Intel,Windows,unknown,16
ASRock NUC BOX-1260P CPU Intel 12th Gen,865.52,B0B8SVMK38,0,-1,0,13,False,False,Intel,unknown,unknown,unknown
Mini PC Intel NUC - i7 Intel Core - 16GB RAM - 500GB SSD - Windows 10 Pro,-1,B07RZTFP96,0,4.7,27,-1,False,False,Intel,Windows,500,16
Intel NUC/Kit NUC10i5FNH w/EU Cable,499.00,B087RRHQDW,0,4.5,66,-1,False,False,Intel,unknown,unknown,unknown
"Intel i7 4770 8-Thread 3.90 GHz Business Office Multimedia Computer with 3 Year Warranty! | i7 4770 8-Threads, 3.9 GHz | 16GB DDR3 | 512 GB SSD | DVD±RW | USB 3.0 | Windodows ws 11 P. Ref. 64-bit | #7052",333.00,B0B88JSMK1,0,4.3,256,13,False,False,Intel,Windows,512,unknown
"MINISFORUM Mini PC 8GB DDR4 256GB SSD with Celeron Processor J4125 Quad-Core (up to 2.7GHz) 4 x USB 3.0 Ports 2 x Gigabit Ethernet Support HDD, 4K @ 60Hz HDMI, DisplayPort Dual Band WiFi Fi BT 4. 2",229.99,B089CNZL8S,0,4.5,574,8,False,True,MINIS FORUM,unknown,256,8
"RICOO Thin Client Mount TRH-01 Mount Compatible with Intel NUC &amp; Mini PC, Computer Mount for Monitor Mount Screen Stand or Under Desk Mount VESA 75x75 100x100 Black",-1,B083WJSJ7D,0,4.3,13,-1,False,False,Intel,unknown,unknown,unknown
Intel NUC 11 Pro UCFF Black i5-1135G7,505.20,B08YFFW131,0,4.8,7,9,False,False,Intel,unknown,unknown,unknown
"MINISFORUM HM60 Mini PC AMD Ryzen 5 4600H DDR4 16GB RAM 512GB PCle SSD Mini Desktop Computer Radeon Vega Graphics HDMI DisplayPort USB-C 4K @ 60Hz 2X RJ45-LAN, 4X USB 3.0 Ports 2 x 2.5. Inch HDD ports",549.99,B09NRDL1MP,80.00,4.4,222,9,False,False,MINIS FORUM,unknown,512,16
Fujitsu Esprimo Q920 0-Watt Intel Core i5 240GB SSD Hard Drive 8GB Memory Windows 10 Pro Business Desktop Computer Mini PC (Refurbished),192.03,B0854LM164,0,4.2,303,8,False,False,Intel,Windows,240,unknown
"MINIS FORUM JB95 Mini PC, Intel Celeron Silver N5095 Processor Quad-Core CPU 8 GB / 128GB SSD Mini Desktop Computer with Windows 10, HDMI/DP/USB C Connector, USB 3.0×2, USB 3.1×2",239.00,B089CZ4QC6,34.00,4.2,358,8,False,True,Intel,Windows,128,unknown
HP Elite 8100 - Intel Core i3-530 | 4GB DDR3 | 120GB SSD | DisplayPort | Windows 10 Multi-Language - Desktop PC (Refurbished),95.00,B00D83BL40,0,4.5,2,10,False,False,Intel,Windows,120,unknown
Intel Barb NUC BNUC11TNKV50002 Black,514.83,B08YFFT5GH,0,5.0,1,21,False,False,Intel,unknown,unknown,unknown
Intel NUC 11 Pro Kit NUC11TNHi3 - Tall - Tiger Canyon BNUC11TNHI30002,366.49,B08YFFBX7D,0,2.4,3,13,False,False,Intel,unknown,unknown,unknown
"Mini PC I5 Intel i5-8279U Mini PC Windows 11 Pro with 8G DDR4 256G M.2 NVMe SSD, Mini-PC 4K Dual HDMI, Mini Computer Zoom, GTA Online, LOL, CS GO, Photoshop",379.00,B09PNCKQPD,0,4.3,36,8,False,True,Intel,Windows,256,8
"Intel NUC 11 Essential Windows 11, Atlas Canyon Celeron N5105, 4 Cores, 4 Threads, 2.9 GHz, 4MB Level 3 Cache, 46W TDP, Intel UHD Graphics",309.99,B0B8HWXN8F,30.00,4.4,14,8,False,True,Intel,Windows,unknown,unknown
"Intel NUC, NUC 11 Pro Windows 10 Pro Desktop Mini PC, Intel® Core i5-1135G7 4-Core, 2.4GHz-4.2GHz Turbo, 8-Thread, 8MB Cache, 16GB RAM, 256GB PCIe SSD, 28 W. Intelle. ® Iris™ Xe Graphics, NUC11PAHi5",749.99,B0B1MN8LXD,70.00,5.0,2,21,False,True,Intel,Windows,256,16
"MINIS FORUM Fanless Mini PC, Windows 10, 4 GB DDR4 / 64 GB, eMMC Intel Celoren N4020 processor, mini desktop computer, HDMI and VGA connection, Dual Band Wi-Fi 2.4+5.0 G, BT, USB 3.0 * 3",159.00,B07PS1KVD1,20.00,4.2,877,8,False,False,Intel,Windows,unknown,4
"Mini PC Intel Core i5-11320H Con processore Quad-core da 16 GB DDR4 / 512 GB SSD Mini PC Desktop Con Windows 11 pro, HDMI, DP e USB 4, WiFi Dual Band, BT, USB 3.1 x 4",579.00,B09ZTTT48C,80.00,4.5,270,9,False,False,Intel,Windows,512,16
"Gigabyte GB-BACE-3000 (rev. 1.0) BGA 1170 1.04GHz N3000 0.69L Mini PC Black - Barebones PC/Workstation PC (BGA 1170, Intel® Celeron® 1.04GHz, N3000, 14n) m)",69.99,B01BLVFQF0,0,3.1,15,13,False,False,Intel,no OS,unknown,unknown
"Mini PC Windows 11 Pro, MINIS FORUM UM350 16GB DDR4 / 256GB SSD AMD Ryzen 5 3550H Processor Mini Desktop Computer, HDMI-DP USB C Port, Radeon Vega 8 Graphics, USB 3.1",404.00,B09R78KTLC,30.00,4.3,105,9,False,False,MINIS FORUM,Windows,256,16
"Intel NUC, NUC 10 i5, Intel® Core™ i5-10210U Mini PC, NUC10i5FNHN Barebone, up to 4.2 GHz, 4 cores, 8 threads, no OS",529.99,B0B1MN8WX5,0,4.8,8,21,False,True,Intel,no OS,unknown,unknown
"Mini PC Windows 10 Home 6GB RAM 64GB SSD, Mini Desktop Computer Dual-core Intel Celeron N3350 CPU (Up to 2.4GHz), Micro Computer AWOW TX33 Micro PC Support M.2 SATA SSD/Dual Wi-Fi/BT 4.2 / HDMI /VGA",121.19,B086VZD6L4,10.00,3.9,104,8,False,False,Intel,Windows,64,6
"Mini PC with built-in speaker, fingerprint login, Windows 11 Pro, 16 GB RAM, 512 GB SSD, Core i5-1135G7, Intel Iris Xe Graphics 8K UHD, Thunderbolt, WiFi6, BT5.2",589.99,B09VFSFW2Z,100.00,4.6,27,9,False,False,Intel,Windows,512,16
"Mini PC, i5-8259U Windows 11 Pro Mini PC, 16GB DDR4 RAM 512GB SSD Mini Desktop PC, GEEKOM Mini IT8 Small PC, Mini Computer 4K @ 60Hz | Supports 4 Displays | Vesa Holder | 2.4/5G WiFi for Office",519.99,B09TKMYBBF,50.00,4.5,247,9,False,False,GEEKOM,Windows,512,16
HP ProDesk 400 G6 - Mini Desktop - Core i7 10700T 2 GHz - 16 GB - SSD 512 GB - German,946.08,B08V398WHR,0,5.0,4,-1,False,False,HP,unknown,unknown,unknown
"Mini PC Windows 11 Pro with Intel Core i5-11320H Desktop PC Minisforum DeskMini TH50 16GB RAM 512G PCle SSD Mini Computer, Triple HDMI/USB 4 / Display Video Output, Dual LAN 2.5G Micro PC",579.99,B09WPF187D,60.00,4.1,46,9,False,False,Intel,Windows,unknown,16
"MINISFORUM Mini PC 8GB DDR4 256GB SSD with Celeron Processor J4125 Quad-Core (up to 2.7GHz) 4 x USB 3.0 Ports 2 x Gigabit Ethernet Support HDD, 4K @ 60Hz HDMI, DisplayPort Dual Band WiFi Fi BT 4. 2",229.99,B089CNZL8S,0,4.5,574,8,False,True,MINIS FORUM,unknown,256,8
"Mini PC Fanless Intel Celeron N4000 (up to 2.6 GHz) 4GB DDR4/64GB eMMC Mini Desktop Computer Windows 10 HDMI And VGA Connection 2.4/5.8G WiFi BT4.2 3xUSB 3.0 Support Linux, M.2 2242 SSD",159.99,B082VVHXK6,10.00,4.2,418,8,False,False,Intel,Windows,unknown,4
"Mini PC Windows 11 Pro, Intel Celeron J4125 with 8GB DDR4/NVMe M.2 128GB SSD 4K@60Hz, AWOW AK41 Desktop Computer Dual HDMI, Advanced SSD 2TB, 2.4G/5G Dual WiFi, Gigabit Eth. ernet, USB*. 4, BT 4.2",195.40,B09QFSVDKJ,0,4.3,51,8,False,False,Intel,Windows,128,8
